Nome;Local;Hyperlink;Link;Double
 TV Pajuçara - Ao Vivo - Afiliada Record;-;http://pajucara.tnh1.com.br/tv/;http://pajucara.tnh1.com.br/tv/;http://pajucara.tnh1.com.br/
TV Gazeta - Afiliada Globo / G1 Alagoas;-;http://redeglobo.globo.com/al/tvgazetaal/;http://redeglobo.globo.com/al/tvgazetaal/;http://redeglobo.globo.com/
Bom Dia AL ;AL TV 1ª , AL TV 2ª , Gazeta Rural;http://g1.globo.com/al/alagoas/bom-dia-alagoas/vi;http://g1.globo.com/al/alagoas/bom-dia-alagoas/vi;http://g1.globo.com/
Pajuçara.com;-;http://www.pajucara.com;http://www.pajucara.com;http://www.pajucara.com
TV Asssembléia AL;-;http://www.al.al.leg.br/comunicacao/videos;http://www.al.al.leg.br/comunicacao/videos;http://www.al.al.leg.br/
Blog Revista do Luiz;Cacimbinhas;https://revistadoluiz.blogspot.com.br/;https://revistadoluiz.blogspot.com.br/;https://revistadoluiz.blogspot.com.br/
Blog do Amílton Ramos;São José da Tapera;http://www.amiltonramos.com.br/;http://www.amiltonramos.com.br/;http://www.amiltonramos.com.br/
Blog do Maikel Marques;Litoral AL / Sertão AL;http://www.maikelmarques.com/;http://www.maikelmarques.com/;http://www.maikelmarques.com/
Blog do Murta;Alagoas;http://blogdomurta.blogspot.com/;http://blogdomurta.blogspot.com/;http://blogdomurta.blogspot.com/
Blog da Nide Lins;Alagoas;http://www.nidelins.com.br/;http://www.nidelins.com.br/;http://www.nidelins.com.br/
A Gazeta AP;Macapá;http://agazetadoamapa.com.br/;http://agazetadoamapa.com.br/;http://agazetadoamapa.com.br/
Diário do Amapá / Edições;Macapá;http://www.diariodoamapa.com.br/;http://www.diariodoamapa.com.br/;http://www.diariodoamapa.com.br/
Jornal Aqui Amapá;Macapá;http://www.aquiamapa.com.br/;http://www.aquiamapa.com.br/;http://www.aquiamapa.com.br/
Jornal do Dia AP;Macapá;http://www.jdia.com.br/;http://www.jdia.com.br/;http://www.jdia.com.br/
Agência Amapá de Notícias;-;http://ageamapa.ap.gov.br/noticias;http://ageamapa.ap.gov.br/noticias;http://ageamapa.ap.gov.br/
